"","city","State","Year","Count","address","longitude","latitude"
"1","Abilene","TX","1985",355,"Abilene , TX",-99.7331439,32.4487364
"2","Abilene","TX","1992",859,"Abilene , TX",-99.7331439,32.4487364
"3","Abilene","TX","1993",890,"Abilene , TX",-99.7331439,32.4487364
"4","Abilene","TX","1990",914,"Abilene , TX",-99.7331439,32.4487364
"5","Abilene","TX","1991",870,"Abilene , TX",-99.7331439,32.4487364
"6","Abilene","TX","2006",554,"Abilene , TX",-99.7331439,32.4487364
"7","Abilene","TX","1994",721,"Abilene , TX",-99.7331439,32.4487364
"8","Abilene","TX","1995",696,"Abilene , TX",-99.7331439,32.4487364
"9","Abilene","TX","1996",598,"Abilene , TX",-99.7331439,32.4487364
"10","Abilene","TX","1997",642,"Abilene , TX",-99.7331439,32.4487364
"11","Abilene","TX","1986",506,"Abilene , TX",-99.7331439,32.4487364
"12","Abilene","TX","1987",561,"Abilene , TX",-99.7331439,32.4487364
"13","Abilene","TX","1988",679,"Abilene , TX",-99.7331439,32.4487364
"14","Abilene","TX","1989",740,"Abilene , TX",-99.7331439,32.4487364
"15","Abilene","TX","2002",444,"Abilene , TX",-99.7331439,32.4487364
"16","Abilene","TX","2003",517,"Abilene , TX",-99.7331439,32.4487364
"17","Abilene","TX","2004",498,"Abilene , TX",-99.7331439,32.4487364
"18","Abilene","TX","2005",576,"Abilene , TX",-99.7331439,32.4487364
"19","Abilene","TX","2010",578,"Abilene , TX",-99.7331439,32.4487364
"20","Abilene","TX","2007",661,"Abilene , TX",-99.7331439,32.4487364
"21","Abilene","TX","2008",648,"Abilene , TX",-99.7331439,32.4487364
"22","Abilene","TX","2009",658,"Abilene , TX",-99.7331439,32.4487364
"23","Abilene","TX","2001",383,"Abilene , TX",-99.7331439,32.4487364
"24","Abilene","TX","1998",548,"Abilene , TX",-99.7331439,32.4487364
"25","Abilene","TX","1999",495,"Abilene , TX",-99.7331439,32.4487364
"26","Abilene","TX","2000",404,"Abilene , TX",-99.7331439,32.4487364
"27","Abilene","TX","2011",428,"Abilene , TX",-99.7331439,32.4487364
"28","Abilene","TX","2012",472,"Abilene , TX",-99.7331439,32.4487364
"29","Ada County","ID","1994",117,"Ada County , ID",-116.2420304,43.478767
"30","Ada County","ID","2003",110,"Ada County , ID",-116.2420304,43.478767
"31","Ada County","ID","2007",167,"Ada County , ID",-116.2420304,43.478767
"32","Ada County","ID","2008",172,"Ada County , ID",-116.2420304,43.478767
"33","Ada County","ID","2004",143,"Ada County , ID",-116.2420304,43.478767
"34","Ada County","ID","2006",81,"Ada County , ID",-116.2420304,43.478767
"35","Ada County","ID","1997",115,"Ada County , ID",-116.2420304,43.478767
"36","Ada County","ID","1998",126,"Ada County , ID",-116.2420304,43.478767
"37","Ada County","ID","1995",150,"Ada County , ID",-116.2420304,43.478767
"38","Ada County","ID","1996",91,"Ada County , ID",-116.2420304,43.478767
"39","Ada County","ID","1985",111,"Ada County , ID",-116.2420304,43.478767
"40","Ada County","ID","1986",133,"Ada County , ID",-116.2420304,43.478767
"41","Ada County","ID","1987",102,"Ada County , ID",-116.2420304,43.478767
"42","Ada County","ID","1988",117,"Ada County , ID",-116.2420304,43.478767
"43","Ada County","ID","1989",103,"Ada County , ID",-116.2420304,43.478767
"44","Ada County","ID","1990",93,"Ada County , ID",-116.2420304,43.478767
"45","Ada County","ID","1991",103,"Ada County , ID",-116.2420304,43.478767
"46","Ada County","ID","1992",116,"Ada County , ID",-116.2420304,43.478767
"47","Ada County","ID","1993",136,"Ada County , ID",-116.2420304,43.478767
"48","Ada County","ID","2010",120,"Ada County , ID",-116.2420304,43.478767
"49","Ada County","ID","2011",122,"Ada County , ID",-116.2420304,43.478767
"50","Ada County","ID","2012",128,"Ada County , ID",-116.2420304,43.478767
"51","Ada County","ID","1999",130,"Ada County , ID",-116.2420304,43.478767
"52","Ada County","ID","2000",126,"Ada County , ID",-116.2420304,43.478767
"53","Ada County","ID","2001",115,"Ada County , ID",-116.2420304,43.478767
"54","Ada County","ID","2002",130,"Ada County , ID",-116.2420304,43.478767
"55","Ada County","ID","2009",168,"Ada County , ID",-116.2420304,43.478767
"56","Aiken County","SC","1989",485,"Aiken County , SC",-81.6035062,33.6005783
"57","Aiken County","SC","1991",683,"Aiken County , SC",-81.6035062,33.6005783
"58","Aiken County","SC","1992",728,"Aiken County , SC",-81.6035062,33.6005783
"59","Aiken County","SC","1993",632,"Aiken County , SC",-81.6035062,33.6005783
"60","Aiken County","SC","1990",627,"Aiken County , SC",-81.6035062,33.6005783
"61","Aiken County","SC","2009",479,"Aiken County , SC",-81.6035062,33.6005783
"62","Aiken County","SC","2010",380,"Aiken County , SC",-81.6035062,33.6005783
"63","Aiken County","SC","2011",424,"Aiken County , SC",-81.6035062,33.6005783
"64","Aiken County","SC","1985",612,"Aiken County , SC",-81.6035062,33.6005783
"65","Aiken County","SC","1986",644,"Aiken County , SC",-81.6035062,33.6005783
"66","Aiken County","SC","1987",636,"Aiken County , SC",-81.6035062,33.6005783
"67","Aiken County","SC","1988",453,"Aiken County , SC",-81.6035062,33.6005783
"68","Aiken County","SC","2002",315,"Aiken County , SC",-81.6035062,33.6005783
"69","Aiken County","SC","2003",363,"Aiken County , SC",-81.6035062,33.6005783
"70","Aiken County","SC","2004",336,"Aiken County , SC",-81.6035062,33.6005783
"71","Aiken County","SC","2005",327,"Aiken County , SC",-81.6035062,33.6005783
"72","Aiken County","SC","2006",371,"Aiken County , SC",-81.6035062,33.6005783
"73","Aiken County","SC","1994",703,"Aiken County , SC",-81.6035062,33.6005783
"74","Aiken County","SC","1995",636,"Aiken County , SC",-81.6035062,33.6005783
"75","Aiken County","SC","1996",439,"Aiken County , SC",-81.6035062,33.6005783
"76","Aiken County","SC","1997",674,"Aiken County , SC",-81.6035062,33.6005783
"77","Aiken County","SC","1998",563,"Aiken County , SC",-81.6035062,33.6005783
"78","Aiken County","SC","1999",544,"Aiken County , SC",-81.6035062,33.6005783
"79","Aiken County","SC","2000",528,"Aiken County , SC",-81.6035062,33.6005783
"80","Aiken County","SC","2001",377,"Aiken County , SC",-81.6035062,33.6005783
"81","Aiken County","SC","2007",440,"Aiken County , SC",-81.6035062,33.6005783
"82","Aiken County","SC","2008",437,"Aiken County , SC",-81.6035062,33.6005783
"83","Aiken County","SC","2012",351,"Aiken County , SC",-81.6035062,33.6005783
"84","Akron City","OH","1988",2012,"Akron City , OH",-81.5190053,41.0814447
"85","Akron City","OH","1991",2826,"Akron City , OH",-81.5190053,41.0814447
"86","Akron City","OH","1992",2645,"Akron City , OH",-81.5190053,41.0814447
"87","Akron City","OH","1989",2251,"Akron City , OH",-81.5190053,41.0814447
"88","Akron City","OH","1994",2164,"Akron City , OH",-81.5190053,41.0814447
"89","Akron City","OH","1995",2268,"Akron City , OH",-81.5190053,41.0814447
"90","Akron City","OH","1996",2345,"Akron City , OH",-81.5190053,41.0814447
"91","Akron City","OH","1990",2584,"Akron City , OH",-81.5190053,41.0814447
"92","Akron City","OH","1985",1873,"Akron City , OH",-81.5190053,41.0814447
"93","Akron City","OH","1986",2445,"Akron City , OH",-81.5190053,41.0814447
"94","Akron City","OH","1987",2146,"Akron City , OH",-81.5190053,41.0814447
"95","Akron City","OH","2003",1303,"Akron City , OH",-81.5190053,41.0814447
"96","Akron City","OH","2004",1258,"Akron City , OH",-81.5190053,41.0814447
"97","Akron City","OH","2005",1279,"Akron City , OH",-81.5190053,41.0814447
"98","Akron City","OH","2006",1345,"Akron City , OH",-81.5190053,41.0814447
"99","Akron City","OH","2007",1584,"Akron City , OH",-81.5190053,41.0814447
"100","Akron City","OH","1993",2129,"Akron City , OH",-81.5190053,41.0814447
"101","Akron City","OH","2009",1919,"Akron City , OH",-81.5190053,41.0814447
"102","Akron City","OH","2010",1675,"Akron City , OH",-81.5190053,41.0814447
"103","Akron City","OH","2011",1779,"Akron City , OH",-81.5190053,41.0814447
