Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/ Murder and nonnegligent manslaughter
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Birmingham Police Dept,AL,          97,          88,          84,          92,         100,         125,         139,         133,         121,         135,         121,         113,         108,          85,          78,          79,          73,          65,          85,          59,         104,         104,          86,          82,          65,,          54,          67, 
Huntsville Police Dept,AL,          11,          19,          16,          15,          12,          18,,          20,          18,          18,          10,          11,          16,          11,          19,           8,          15,           5,          19,           6,          22,          16,          21,          18,          13,          12,          13,          14, 
Jefferson County Sheriff Department,AL,          18,          15,          12,          13,          11,          13,          17,          11,          10,          10,          11,          17,          16,           7,           2,           7,           5,           7,           4,           0,           4,           9,           3,           5,           5,           5,           9,           4, 
Madison County Sheriff Department,AL,           1,           2,           2,           4,           4,           3,           4,           3,           0,           5,           5,           9,           5,           4,           2,           0,           0,           2,           1,           0,           4,           1,           4,           0,           3,           7,           2,           4, 
Mobile County Sheriff Department,AL,           6,           3,           6,,           4,           6,,,           8,           9,           3,           7,           4,           3,           5,           7,           4,           5,           4,           2,           6,           5,           7,           9,,           5,           6,           6, 
Mobile Police Dept,AL,          26,          47,          32,          33,          40,          41,          40,          35,          42,          39,          54,          51,          52,          36,          30,          20,          42,          40,          24,          27,          35,          34,          38,          42,          24,          25,          30,          32, 
Montgomery Police Dept,AL,          22,          21,          22,          25,          33,          34,          36,          32,          39,          41,          35,          31,          26,          32,          26,          31,          26,          30,          18,          25,          29,          27,          46,          23,          31,          25,          31,          44, 
Anchorage Police Dept,AK,          14,          17,          15,          13,          11,          10,          25,          17,          23,          22,          29,          25,          23,          19,          19,          10,          10,          18,          17,          15,          16,          17,          22,          10,          14,          13,          12,          15, 
Chandler Police Dept,AZ,           0,           3,           1,           2,           1,           1,           7,           2,           0,           6,           9,           2,           3,           5,           6,           4,           6,           3,           5,           3,           8,           9,           9,           6,           5,           6,           2,           4, 
Gilbert Police Dept,AZ,           1,           1,           1,           0,           0,           1,           0,           2,           0,           1,           0,           1,,           4,           1,           0,           0,           5,           1,           1,           0,           3,           1,           0,           4,           5,           2,           5, 
Glendale Police Dept,AZ,           9,           7,          13,          12,           6,          15,           8,          12,          16,           3,           9,          11,          13,          12,          16,          12,          17,          17,          14,          18,          19,          21,          15,          17,          18,          12,          22,          12, 
Maricopa County Sheriff Department,AZ,          23,          24,          20,          20,          18,          14,          26,          14,          22,          19,          28,          22,          20,          24,          16,          17,          23,          35,          25,          12,,          25,          32,          26,          25,          26,           6,           8, 
Mesa Police Dept,AZ,           8,          11,           9,          11,          10,           9,          15,           9,           6,          17,          17,          18,          13,          11,           9,          15,          17,          22,          14,          22,          29,          26,          22,          16,          14,          15,          18,          14, 
Peoria Police Dept,AZ,           1,           1,           0,           0,           1,           1,           2,           2,           4,           2,           3,           3,           9,           2,           6,           4,           3,           0,           2,           9,           1,           2,           6,           8,           9,           6,           2,           9, 
Phoenix Police Dept,AZ,          89,         122,         111,         106,         126,         128,         128,         136,         158,         231,         214,         186,         175,         185,         214,         152,         209,         177,         241,         202,         220,         235,         212,         167,         122,         116,         116,         123, 
Pima County Sheriff Department,AZ,          17,          19,,          24,          14,          15,          20,          16,          19,          11,          24,          22,           9,          26,          25,          25,           7,          22,          28,          23,          20,          18,          25,          28,          18,          27,          16,          13, 
