Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Birmingham Police Dept,AL,3350,3769,3532,3419,4020,4193,6908,6144,6678,6625,6649,4416,3785,3147,2843,2947,3027,3187,3347,3261,3449,3175,3320,3249,2812,,3163,3237, 
Huntsville Police Dept,AL,684,787,761,910,848,889,,1515,2171,1802,1275,1339,1408,1245,1492,1244,1039,961,988,1109,1220,1439,1379,1222,1164,1182,1518,1696, 
Jefferson County Sheriff Department,AL,1242,1303,1253,1131,1061,1311,1108,1181,1096,831,802,707,667,532,527,534,560,376,393,327,457,642,557,637,505,349,569,676, 
Madison County Sheriff Department,AL,43,62,64,74,144,164,132,181,220,253,225,236,247,170,174,204,194,165,155,200,230,284,216,224,323,308,194,286, 
Mobile County Sheriff Department,AL,229,187,269,,391,459,,,350,419,384,312,359,363,287,293,265,354,301,214,196,190,245,223,,250,241,231, 
Mobile Police Dept,AL,2177,3525,2972,3184,3553,5898,6492,2301,2220,2297,2291,2185,1873,1508,1288,1496,1529,1376,1300,1170,1165,1167,1144,1204,1994,1702,1619,1314, 
Montgomery Police Dept,AL,546,395,329,456,693,967,1711,1485,1695,1889,1409,1589,1781,1498,1583,1563,1456,1475,1307,1330,1641,1184,1157,883,871,797,707,827, 
Anchorage Police Dept,AK,1184,1198,1025,1122,1131,1330,1669,1971,2213,2478,2510,2078,1889,1632,1683,1524,1748,1721,1744,2164,2031,2592,2405,2647,2488,2432,2388,2479, 
Chandler Police Dept,AZ,207,256,251,199,244,290,276,263,276,294,403,428,385,336,360,445,521,519,624,716,826,959,823,801,740,691,681,628, 
Gilbert Police Dept,AZ,28,20,17,48,42,112,106,107,128,143,197,222,,80,104,123,129,184,172,160,215,254,236,239,198,206,178,205, 
Glendale Police Dept,AZ,806,922,1134,980,1011,1076,1191,1158,1425,1249,1400,1221,1171,1078,1226,1308,1214,1353,1270,1406,1409,1539,1508,1330,1147,963,1114,1145, 
