"","locationID","Latitude","Longitude"
"1","ADK",51.8781,176.6461
"2","AKK",56.9386,154.1825
"3","Z13",60.9047,161.4225
"4","AKI",60.9028,161.2306
"5","AUK",62.68,164.66
"6","5A8",59.2825,158.6178
"7","4AK7",59.2808,158.5972
"8","Z25",59.2631,158.5578
"9","6A8",66.5519,152.6222
"10","AFM",67.1064,157.8575
"11","AK80",65.1017,151.1775
"12","AKP",68.1336,151.7433
"13","AK00",59.7967,151.8633
"14","00AK",59.8561,151.6964
"15","A13",61.3414,148.9989
"16","CSR",61.1586,149.7806
"17","EDF",61.2514,149.8064
"18","6AK5",61.1683,150.1606
"19","AK12",61.1067,149.8642
"20","Z41",61.1869,149.9653
"21","MRI",61.2136,149.8444
"22","AA05",61.5078,149.0783
"23","AA06",61.2897,149.8061
"24","9AK5",61.1164,149.8189
"25","ANC",61.1744,149.9964
"26","ANI",61.5817,159.5431
"27","ANN",55.0425,131.5722
"28","ANV",62.6467,160.1906
"29","ARC",68.1147,145.5794
"30","AKA",52.2203,174.2064
"31","4A2",60.8667,162.2731
"32","ATK",70.4672,157.4358
"33","ATU",52.8283,173.1803
"34","BRW",71.2856,156.7661
"35","BTI",70.1339,143.5819
"36","Z47",64.6797,165.2997
"37","AK02",65.54,161.0625
"38","Z48",63.5717,156.1442
"39","Z52",56.0367,160.2661
"40","WBQ",66.3622,147.4067
"41","BLG",61.1722,151.0439
"42","BET",60.7797,161.8381
"43","BTT",66.9139,151.5292
"44","BGQ",61.5361,149.8139
"45","9AK7",61.5897,149.8167
"46","08AK",61.5697,149.7244
"47","AK86",61.5736,149.9114
"48","63AK",61.5844,149.9381
"49","20AK",61.5039,149.8961
"50","AK95",61.5703,149.7792
"51","09AK",61.5894,149.8472
"52","37AK",59.3611,155.2589
"53","Z91",66.2739,145.8242
"54","BCV",61.4161,149.5083
"55","5BK",63.5353,145.8608
"56","AK97",60.4231,146.1458
"57","BYA",64.0783,141.1133
"58","KTS",65.3314,166.4658
"59","AK98",65.6386,167.4858
"60","BVK",65.9817,161.1492
"61","AK75",65.9078,161.9264
"62","TTW",63.3911,148.9556
"63","15AK",63.3706,148.8503
"64","LUR",68.875,166.11
"65","EHM",58.6464,162.0628
"66","CZF",61.7811,166.0394
"67","26AK",54.5825,164.9144
"68","CEM",65.5739,144.7808
"69","CIK",66.645,143.74
"70","5CD",68.0656,149.5797
"71","WCR",67.5044,148.4833
"72","CFK",60.1492,164.2856
"73","AK13",65.0519,146.0475
"74","C05",60.0772,147.9919
"75","VAK",61.5408,165.6008
"76","CKX",64.0714,141.9522
"77","AJC",56.3114,158.3733
"78","KCL",56.3111,158.5342
"79","A79",56.255,158.7753
"80","CZN",62.0711,142.0483
"81","CZO",62.5633,144.6689
"82","CXC",61.5828,144.4272
"83","9A3",61.5792,159.2156
"84","AK24",61.4181,149.4392
"85","CRC",65.8278,144.0761
"86","CHP",65.4856,144.6108
"87","CLP",58.8336,158.5294
"88","Z84",64.3011,149.12
"89","CLF",64.2569,149.1861
"90","Z86",63.0267,147.1786
"91","CDB",55.2061,162.7256
"92","1AK3",56.0061,160.5608
"93","CXF",67.2522,150.2039
"94","KCR",63.5678,155.9892
"95","JLA",60.4828,149.7189
"96","Z93",61.9411,145.2942
"97","CKU",60.5439,145.7267
"98","CDV",60.4917,145.4775
"99","AK30",60.3911,146.0975
"100","K29",64.8978,163.7033
"101","1AK1",67.3728,152.0161
"102","CJX",61.8678,158.135
"103","1AK2",62.4008,146.0133
"104","DCK",66.9433,156.9047
