"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @jose_garde: ICYMI: all free @OReillyMedia data reports are now in the same place https://t.co/Q3cma0u1oS    #bigdata #datascience",FALSE,0,NA,2016-03-16 00:38:56,FALSE,NA,"709901728582377472",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juanpeguembe",32,TRUE,FALSE,NA,NA
"2","RT @EvanSinar: The only 5 questions data science can answer https://t.co/97AFFhmldC @kdnuggets #datascience #machinelearning https://t.co/L…",FALSE,0,NA,2016-03-16 00:38:01,FALSE,NA,"709901498445078528",NA,"<a href=""http://idl.baidu.com/"" rel=""nofollow"">Visual Recognition</a>","AndrewBaidu",21,TRUE,FALSE,NA,NA
"3","Weber Collaborates with Columbia's Data Science Institute - O'Dwyer's PR News https://t.co/OqNmsdnanp #datascience",FALSE,0,NA,2016-03-16 00:37:37,FALSE,NA,"709901399945904129",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","logicalglue",0,FALSE,FALSE,NA,NA
"4","RT @tonyojeda3: Natural Language Processing with Python Workshop on 4/9 https://t.co/3gzxbXW2Jw #DataScience #BigData #NLProc #DataDC #DCTe…",FALSE,0,NA,2016-03-16 00:37:25,FALSE,NA,"709901348872048640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RebeccaBilbro",2,TRUE,FALSE,NA,NA
"5","Natural Language Processing with Python Workshop on 4/9 https://t.co/3gzxbXW2Jw #DataScience #BigData #NLProc #DataDC #DCTech #NLTK",FALSE,0,NA,2016-03-16 00:37:12,FALSE,NA,"709901296195788800",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","tonyojeda3",2,FALSE,FALSE,NA,NA
"6","RT @BigData_WG: The bigger the organization, the better the results. #BigData #DataScience",FALSE,0,NA,2016-03-16 00:36:15,FALSE,NA,"709901054016552961",NA,"<a href=""http://www.rabianuray.net"" rel=""nofollow"">Data Science Wire</a>","sentiwire",1,TRUE,FALSE,NA,NA
"7","The bigger the organization, the better the results. #BigData #DataScience",FALSE,1,NA,2016-03-16 00:36:14,FALSE,NA,"709901051004997633",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","BigData_WG",1,FALSE,FALSE,NA,NA
"8","RT @CraigMilroy: #NFL teams prepping for #RFID #bigdata dump https://t.co/y0nrcirNte via @espn #datascience #sportstech",FALSE,0,NA,2016-03-16 00:35:22,FALSE,NA,"709900834310643712",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlmaxAnalytics",2,TRUE,FALSE,NA,NA
"9","RT @Ronald_vanLoon: Data science versus statistics, to solve problems: case study | #DataScience #Statistics #RT https://t.co/32P9tlUBU4 ht…",FALSE,0,NA,2016-03-16 00:33:41,FALSE,NA,"709900407267598336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KelvinKlein35",31,TRUE,FALSE,NA,NA
"10","RT @Ronald_vanLoon: 100 Blogs on Analytics, Big Data, Data Science, and Machine Learning | #DataScience #BigDat… https://t.co/urM2o3srGs ht…",FALSE,0,NA,2016-03-16 00:33:19,FALSE,NA,"709900318541271041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KelvinKlein35",43,TRUE,FALSE,NA,NA
"11","RT @EvanSinar: The lifecycle and ecosystem of 22 hot big data technologies @Forbes https://t.co/LAWdlbDzjm #bigdata #datascience https://t.…",FALSE,0,NA,2016-03-16 00:32:08,FALSE,NA,"709900020753903616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BereanoPartners",31,TRUE,FALSE,NA,NA
"12","RT @TomUrtis: Tom's VIDEO Tips For #MicrosoftExcel: Explaining Array Formulas
https://t.co/7LZeFlJUHr #BusinessIntelligence #analytics #Dat…",FALSE,0,NA,2016-03-16 00:31:32,FALSE,NA,"709899865979899905",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Acceleraytor",3,TRUE,FALSE,NA,NA
