,CensusTract,Area_Full,Area_Half,Area_One,State,Population,County,fooddesert
1,9001010201,4.43187,0,0,CT,3421,Fairfield,Half Mile
2,9001010202,3.8307,0.0158140155,0.4320642456,CT,5359,Fairfield,Half Mile
3,9001010300,3.73736,0.7277498012,2.0771800159,CT,4010,Fairfield,Half Mile
4,9001010400,1.06708,0.3156403306,1.0459062795,CT,5290,Fairfield,Half Mile
5,9001010500,0.706546,0.5083773594,0.7065463578,CT,5494,Fairfield,One Mile
6,9001010600,0.33235,0.0919289015,0.3323495442,CT,1845,Fairfield,Supplied
7,9001010700,0.748697,0,0.2231838389,CT,3579,Fairfield,One Mile
8,9001010800,0.788447,0.0076162305,0.3038890761,CT,3388,Fairfield,One Mile
9,9001010900,1.03478,0.4841712526,0.994758914,CT,4870,Fairfield,One Mile
10,9001011000,2.35957,0.2814647711,0.6357299552,CT,5263,Fairfield,One Mile
11,9001011100,2.25507,0.4002655862,0.9817187402,CT,4894,Fairfield,Half Mile
12,9001011200,2.63735,0.1440727091,0.9929112142,CT,1733,Fairfield,Half Mile
13,9001011300,0.978301,0.0436471475,0.6471729277,CT,3219,Fairfield,One Mile
14,9001020100,0.36904,0.3690401809,0.3690402094,CT,3523,Fairfield,Supplied
15,9001020200,7.56272,0,1.2064e-05,CT,3687,Fairfield,Half Mile
16,9001020300,7.94328,0,0,CT,7263,Fairfield,Half Mile
17,9001020400,3.7572,0.1746788175,1.1451479435,CT,3586,Fairfield,Half Mile
18,9001020500,3.79726,0,0.0172300826,CT,4896,Fairfield,Half Mile
19,9001020600,1.3796,0.2649379008,0.7746322405,CT,4952,Fairfield,One Mile
20,9001020700,2.27098,0.3300447014,0.9576253229,CT,4352,Fairfield,Half Mile
21,9001020800,0.902802,0.0156107006,0.2611870774,CT,2939,Fairfield,One Mile
22,9001020900,0.653847,0,0,CT,4906,Fairfield,Half Mile
23,9001021000,0.748829,0,0,CT,3499,Fairfield,One Mile
24,9001021100,0.719797,0,0.2035816257,CT,5976,Fairfield,One Mile
25,9001021200,0.912069,0,0.1709883206,CT,4177,Fairfield,Supplied
