GEOID,State,Urban,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeT,POP2010,UATYP10,PNT_COUNT,Shape_Area,areahalfmile,Shape_Area_1,areamile
9001042700,CT,1,2072,147,0.03211,0,4578,U,2,0.0003002521,1.0808336988,0.0004426323,1.5933644513
9001080400,CT,1,2158,0,0,1,5956,U,1,0.0001028823,0.3701842012,0.0003582,1.2888138438
9003405900,CT,1,1757,13,0.002804,0,4636,U,1,0.0001118201,0.3992064093,0.0002464233,0.8796959454
9003471200,CT,1,1153,332,0.099193,1,3347,U,4,0.0003206571,1.1425601416,0.000574939,2.0485256275
9003496100,CT,1,1073,2,0.000743,1,2691,U,1,0.0001549735,0.5529086216,0.0003280137,1.1702858444
9003503700,CT,1,900,199,0.075066,1,2651,U,1,6.5304596671E-005,0.232812128,6.5304599496E-005,0.232812138
9003514700,CT,1,2101,5,0.001163,1,4298,U,1,0.000103629,0.3695174052,0.0001515244,0.5402976624
9009165500,CT,1,1769,40,0.008066,1,4959,U,1,0.0001620447,0.5816013828,0.0001679618,0.602839821
9003504300,CT,1,1073,144,0.04888,1,2946,U,3,8.6614639659E-005,0.3089068895,0.000088271,0.3148037389
9007570100,CT,1,2059,69,0.014759,0,4675,U,3,0.0002764886,0.9883575527,0.0006244922,2.2322408891
9009120200,CT,1,2620,111,0.017958,1,6181,U,3,0.0001952753,0.7009720845,0.0005106835,1.8331806672
9009154100,CT,1,2919,17,0.002107,1,8070,U,1,0.0001373322,0.4932624671,0.0004375944,1.5716498221
9009171200,CT,1,3168,289,0.036044,0,8018,U,2,0.0001355349,0.485095561,0.000552677,1.9781860368
9009180200,CT,1,2371,0,0,0,5545,U,2,0.000093913,0.3373668916,0.0002231913,0.801819497
9009345100,CT,1,2716,0,0,0,6979,U,1,0.0001558884,0.5581300342,0.000429809,1.5387800661
9011690800,CT,1,1245,182,0.05441,1,3345,U,1,6.0315214554E-005,0.216471159,0.0001307249,0.4691950443
9001010500,CT,1,2408,0,0,0,5494,U,2,0.0001409614,0.5083773594,0.0001959032,0.7065463578
9001043000,CT,1,1176,70,0.022654,0,3090,U,1,0.0001091503,0.3929916976,0.0002515712,0.9057681498
9001043500,CT,1,985,10,0.00384,0,2604,U,1,0.0001199748,0.4320213985,0.0001951445,0.7027236422
9001080700,CT,1,861,0,0,1,1955,U,1,0.0001838397,0.6612744637,0.0002175888,0.7826744968
9001210200,CT,1,1838,598,0.090909,1,6578,U,1,0.0001213259,0.4350405311,0.0002298405,0.8241892492
9001211400,CT,1,2181,12,0.002388,0,5025,U,1,0.0002801037,1.0040570994,0.0006206134,2.2245590038
9003406100,CT,1,1700,271,0.069309,1,3910,U,2,0.0001602536,0.5722634542,0.0001942987,0.6938434618
9003460100,CT,1,1396,139,0.041805,0,3325,U,2,0.0001687295,0.6020807072,0.000421985,1.5057350556
9003466102,CT,1,1798,18,0.003616,0,4978,U,1,0.0001735892,0.6184439649,0.0004424593,1.5762874187
9003496200,CT,1,1847,7,0.001524,0,4592,U,1,7.3774339666E-005,0.2632471484,0.0002026993,0.7232636658
9001010900,CT,1,1853,5,0.001027,0,4870,U,1,0.0001343024,0.4841712526,0.0002759473,0.994758914
9001021500,CT,1,1918,100,0.015866,1,6303,U,1,8.1586087147E-005,0.2941068756,8.1976887998E-005,0.2955157831
9001210400,CT,1,3199,0,0,1,8419,U,3,0.0003628962,1.301203005,0.0007513641,2.6943519406
9003476300,CT,1,2197,0,0,1,5114,U,9,0.0003538619,1.2588284369,0.000754057,2.6825451992
9003480300,CT,1,929,0,0,0,2244,U,1,0.0001007366,0.3578082977,0.0002619092,0.9302774271
9003497300,CT,1,1717,747,0.143461,0,5207,U,1,0.0001199453,0.427545471,0.0004346908,1.5494006042
9003524700,CT,1,1144,313,0.086369,1,3624,U,3,0.0001708964,0.6097034251,0.0001951933,0.6963935684
