OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,Shape_Length,miles_length
1,11020303908,I- 5,I,S1100,80797.651179700013000,50.205232432840738
2,11020304412,I- 205,I,S1100,21811.713577604543000,13.553143364114439
3,11020304413,I- 205,I,S1100,20762.792963828306000,12.901375615308087
4,11020304556,I- 580,I,S1100,25411.682183361252000,15.790055674856887
5,11020305943,US Hwy 13,U,S1100,4091.385814278822600,2.542264196782785
6,11020305945,US Hwy 13,U,S1100,4039.178965148043500,2.509824429575102
7,11020305946,US Hwy 13,U,S1100,6758.119973509462400,4.199292666620384
8,11020306231,I- 95,I,S1100,48947.867482620182000,30.414733945561181
9,11020306232,I- 95,I,S1100,48895.373229032615000,30.382115593860700
10,11020306429,I- 295,I,S1100,4091.385814278822600,2.542264196782785
11,11020306431,I- 295,I,S1100,4039.178965148043500,2.509824429575102
12,11020306432,I- 295,I,S1100,6758.119973509462400,4.199292666620384
13,11020658305,I- 95,I,S1100,14334.172214713995000,8.906823865108743
14,11050946872,State Hwy 9a,S,S1100,19976.254722123449000,12.412644387784093
15,11050980966,N Myrtle Ave Bg,M,S1100,172.197833153345160,0.106998558889634
16,11050982630,Henry H Buckman Brg,M,S1100,3752.121772101869300,2.331455716029839
17,11050982631,Henry H Buckman Brg,M,S1100,3760.698428619862200,2.336784992657260
18,11050983446,S Fuller Warren Bg,M,S1100,875.406638435035570,0.543951378711922
19,11050983447,S Fuller Warren Bg,M,S1100,868.457523667286980,0.539633407619651
20,11051030988,I- 35,I,S1100,5158.811576108523700,3.205530488500514
21,11051030989,I- 35,I,S1100,5153.819661288120200,3.202428662640677
22,11051032445,US Hwy 69,U,S1100,8173.137143469020000,5.078541814052640
23,11051032446,US Hwy 69,U,S1100,7856.731285214473200,4.881936721889106
24,11051034849,I- 435,I,S1100,25751.829227635575000,16.001412826578481
25,11051034850,I- 435,I,S1100,25886.971672891010000,16.085386280961472
26,11051034851,NE I- 435,I,S1100,2906.745737819640500,1.806164452303650
27,11051034852,NE I- 435,I,S1100,2966.251887956485500,1.843139785808820
28,11051034853,NW I- 435,I,S1100,2068.961291140724800,1.285590372983118
29,11051034854,NW I- 435,I,S1100,2009.750573836192900,1.248798612562041
30,11051041856,N I- 435 Hwy N,M,S1100,11980.724393476719000,7.444462111287538
31,11051041859,N I- 435 Hwy S,M,S1100,12141.734079572601000,7.544508691805134
32,11051041863,NE I- 435 Hwy E,M,S1100,1099.171141260277000,0.682991916531204
33,11051041864,NE I- 435 Hwy E,M,S1100,5647.558677346140000,3.509223250112334
34,11051041866,NE I- 435 Hwy W,M,S1100,950.219170216497330,0.590437637806558
35,11051041867,NE I- 435 Hwy W,M,S1100,5859.866328126480800,3.641144844355106
36,11051041869,NW I- 435 Hwy E,M,S1100,583.716647444375210,0.362703983741873
37,11051041870,NW I- 435 Hwy E,M,S1100,1485.244643696349600,0.922886389241245
38,11051041872,NW I- 435 Hwy W,M,S1100,460.691177695820610,0.286259653817621
39,11051041873,NW I- 435 Hwy W,M,S1100,1549.059396140372400,0.962538958744420
40,11051043937,Midtown Fwy,M,S1100,2692.762468184225300,1.673201678857528
41,11051043938,Midtown Fwy,M,S1100,2659.596686887419300,1.652593459008171
42,11051103636,I- 35,I,S1100,42033.755548997549000,26.118512562563659
43,11051103637,I- 35,I,S1100,42034.185410282327000,26.118779665448471
44,11052035589,State Hwy 9,S,S1100,56125.211264067460000,34.874519688546968
45,11052035590,State Hwy 9,S,S1100,56169.409008517003000,34.901982838783368
46,11052035759,I- 95,I,S1100,56169.409008517003000,34.901982838783368
47,11052042409,US Hwy 69,U,S1100,377.816642569450490,0.234763908111731
48,11052042414,US Hwy 69,U,S1100,690.249525704244770,0.428900312925759
49,11052044637,I- 435,I,S1100,4350.681844937954300,2.703382958257690
50,11052044638,I- 435,I,S1100,3640.936191098085600,2.262368337176951
51,11052044642,I- 435,I,S1100,19089.056619196850000,11.861366147376577
52,11052044643,I- 435,I,S1100,9569.600296177772200,5.946262052722836
53,11052044645,I- 435,I,S1100,18591.814329013254000,11.552394730638444
54,11052300931,I- 75,I,S1100,5834.757617868665000,3.625543046330324
55,11054137148,I- 10,I,S1100,10933.259256226791000,6.793598751856830
56,11054137149,I- 10,I,S1100,10884.970835290296000,6.763593778178329
57,11054196641,State Hwy 5,S,S1100,4834.494397109401700,3.004009539365485
58,11054196642,State Hwy 5,S,S1100,836.563586873840680,0.519815473725112
59,11054196643,State Hwy 5,S,S1100,4854.295366999196600,3.016313267025858
60,11054196644,State Hwy 5,S,S1100,1059.700453166457200,0.658466017063817
61,11054197313,US Hwy 24,U,S1100,25986.553308285536000,16.147263316717194
62,11054197314,US Hwy 24,U,S1100,26034.412774183747000,16.177001750625223
63,11054197746,I- 35,I,S1100,5988.536731590357700,3.721096766456950
64,11054197747,I- 35,I,S1100,6035.184969499529000,3.750082579690600
65,11054199238,US Hwy 69,U,S1100,1864.972976145440000,1.158838163996938
66,11054199239,US Hwy 69,U,S1100,1793.750078173533000,1.114582395481250
67,11054199242,US Hwy 69,U,S1100,1119.983450850090500,0.695924060289900
68,11054199243,US Hwy 69,U,S1100,1162.138810766038200,0.722118134151814
69,11054199293,I- 70,I,S1100,28411.926579581723000,17.654317383808905
70,11054199294,I- 70,I,S1100,28458.793705336364000,17.683439207372043
71,11054200849,US Hwy 169,U,S1100,3460.352390252508500,2.150158989965929
72,11054200850,US Hwy 169,U,S1100,3172.358319917577300,1.971208129027068
73,11054200964,I- 435,I,S1100,19294.297636991345000,11.988896748237835
74,11054200965,I- 435,I,S1100,19256.009470875277000,11.965105632392039
75,11054201057,I- 635,I,S1100,13722.164789601458000,8.526540842276031
76,11054201058,I- 635,I,S1100,13933.817492464641000,8.658055471564596
77,11054201063,I- 670,I,S1100,2747.569670965424400,1.707257227681641
78,11054201064,I- 670,I,S1100,2882.984147358354700,1.791399714038801
79,11054242060,Eisenhower Memorial Hwy,M,S1100,351.040703581190260,0.218126144254916
80,11054242061,Eisenhower Memorial Hwy,M,S1100,300.209827133134700,0.186541365123603
81,11054242064,Eisenhower Memorial Hwy,M,S1100,950.786560712220190,0.590790197210229
82,11054242066,Eisenhower Memorial Hwy,M,S1100,553.133564067653880,0.343700574768679
83,11054242067,Eisenhower Memorial Hwy,M,S1100,2273.272831482279300,1.412543424486385
84,11054242260,Lewis and Clark Viaduct Brg,M,S1100,738.060271258618740,0.458608473476197
85,11054242261,Lewis and Clark Viaduct Brg,M,S1100,899.085488435296950,0.558664704540682
86,11055773305,I- 75,I,S1100,34300.994263995497000,21.313607073445432
87,11055773306,I- 75,I,S1100,34293.431010418739000,21.308907494952425
88,11055773714,State Rte 401,S,S1100,34300.994263995497000,21.313607073445432
